"","year","date","guest_name"
"413",2001,"3/6/01","Ed Burns"
"414",2001,"3/7/01","Carmen Electra"
"415",2001,"3/8/01","Javier Bardem"
"416",2001,"4/10/01","Bob Costas"
"417",2001,"4/11/01","Damon Wayans"
"418",2001,"4/12/01","Brittany Daniel"
"419",2001,"4/2/01","Lisa Ling"
"420",2001,"4/23/01","Don Hewitt"
"421",2001,"4/24/01","Rachael Leigh Cook"
"422",2001,"4/25/01","Tom Green"
"423",2001,"4/26/01","Tom Cavanagh"
"424",2001,"4/3/01","Amy Sedaris"
"425",2001,"4/30/01","Eric McCormack"
"426",2001,"4/4/01","D.L. Hughley"
"427",2001,"4/5/01","Steven Weber"
"428",2001,"4/9/01","Paul Reubens"
"429",2001,"5/1/01","Dominic Chianese"
"430",2001,"5/10/01","Patricia Richardson"
"431",2001,"5/14/01","Maura Tierney"
"432",2001,"5/15/01","Denise Quií±ones"
"433",2001,"5/16/01","Heath Ledger"
"434",2001,"5/17/01","Jerry Springer"
"435",2001,"5/2/01","No guest"
"436",2001,"5/29/01","Richard Schiff"
"437",2001,"5/3/01","Robert Patrick"
"438",2001,"5/30/01","Bradley Whitford"
"439",2001,"5/31/01","Leah Remini"
"440",2001,"5/7/01","Chris Robinson"
"441",2001,"5/8/01","James Van Der Beek"
"442",2001,"5/9/01","Richie Sambora"
"443",2001,"6/11/01","Joe Queenan"
"444",2001,"6/12/01","Gene Simmons"
"445",2001,"6/13/01","David Duchovny"
"446",2001,"6/14/01","Jeff Greenfield"
"447",2001,"6/18/01","Martin Short"
"448",2001,"6/19/01","Michael Rapaport"
"449",2001,"6/20/01","Alec Baldwin"
"450",2001,"6/21/01","Mí_a"
"451",2001,"6/25/01","Sam Robards"
"452",2001,"6/26/01","Johnny Knoxville"
"453",2001,"6/27/01","Jet Li"
"454",2001,"6/28/01","Bridget Fonda"
"455",2001,"6/4/01","Jake Johannsen"
"456",2001,"6/5/01","Richard Belzer"
"457",2001,"6/6/01","Al Roker"
"458",2001,"6/7/01","Bernie Mac"
"459",2001,"7/10/01","Spice Girls"
"460",2001,"7/11/01","James Woods"
"461",2001,"7/12/01","Vince Vaughn"
"462",2001,"7/16/01","Jon Favreau"
"463",2001,"7/17/01","Maria Bartiromo"
"464",2001,"7/18/01","Edward Norton"
"465",2001,"7/19/01","Hank Azaria"
"466",2001,"7/23/01","Larry Miller"
"467",2001,"7/24/01","Paul Giamatti"
"468",2001,"7/25/01","Joe Lieberman"
